<<<<<<< HEAD
Type,Business Name,First Name,Middle Name,Last Name,NPI,City,Address Line 1,Address Line 2,State,Country,ZIP,Description
Individual,,John,A,Doe,1234567890,Reno,1600 Amphitheatre Pkwy,,California,US,94043-1111,San Francisco Clinic
Group,HealthCare Solutions,,,,987654321,Boise,123 Main St,Suite 400,New York,US,10001-2222,Main Hospital Office
Individual,,Jane,,Smith,1122334455,Savannah,456 Park Ave,,New York,US,10022-1234,Private Practice
Group,Apollo Hospital,,,,5566778899,Madison,Road No 72,Film Nagar,Telangana,US,50003-1467,Hyderabad Branch
Individual,,Robert,,Wilson,9988776655,Tucson,789 Sunrise Blvd,Unit 10,FL,US,33101-2614,Miami Medical Center
Group,Global Diagnostics,,,,1112223334,Spokane,555 Tech Lane,,TX,US,75001-3333,Main Lab Research
Individual,,Sarah,M,Parker,4445556667,Fargo,202 Maple St,,NJ,US,7101-4444,Newark Health Clinic
Group,City Wellness Center,,,,7778889990,Birmingham,101 Pine Dr,,WA,US,98101-5555,Seattle Hub
=======
Type,Business Name,First Name,Middle Name,Last Name,NPI,Address Line 1,Address Line 2,City,State,ZIP Code,Country,Description
Individual,,John,A,Doe,1234567890,1600 Amphitheatre Pkwy,,Boise,California,94043-1111,Us,San Francisco Clinic
Group,HealthCare Solutions,,,,987654321,123 Main St,Suite 400,Savannah,New York,10001-2222,Us,Main Hospital Office
Individual,,Jane,,Smith,1122334455,456 Park Ave,,Madison,New York,10022-3333,Us,Private Practice
Group,Apollo Hospital,,,,5566778899,Road No 72,Film Nagar,Tucson,Telangana,50003-4444,Us,Hyderabad Branch
Individual,,Robert,,Wilson,9988776655,789 Sunrise Blvd,Unit 10,Spokane,FL,33101-5555,Us,Miami Medical Center
Group,Global Diagnostics,,,,1112223334,555 Tech Lane,,Fargo,TX,75001-6666,Us,Main Lab Research
Individual,,Sarah,M,Parker,4445556667,202 Maple St,,Reno,NJ,7101-7777,Us,Newark Health Clinic
Group,City Wellness Center,,,,7778889990,101 Pine Dr,,Birmingham,WA,98101-8888,Us,Seattle Hub
>>>>>>> 9bdf244855ef006734090a697efd81e2cffadd91
